Agony.jpg 	Agony 	Binding Ritual. Creates a level 1...10...12 spirit (30...78...90 second lifespan). Causes 3...9...10 Health loss each second to foes in earshot. This spirit loses 3...9...10 Health for each foe that loses Health. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Channeling Magic	Eye of the North
Soothing Memories.jpg 	Soothing Memories 	Spell. Heals for 10...82...100. You gain 3 Energy if you are holding an item. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	4 Tango-recharge-darker.png 		Restoration Magic	Factions
Soul Twisting.jpg 	Soul Twisting 	Elite Skill. (5...37...45 seconds.) Your Binding Rituals cost 15 less Energy (minimum 10) and recharge instantly. Ends after 1...3...3 Binding Ritual[s]. 		5 Tango-energy.png 		15 Tango-recharge-darker.png 		Spawning Power	Factions
Spirit Boon Strike.jpg 	Spirit Boon Strike 	Spell. Deals 20...56...65 lightning damage. Spirits you control within earshot gain 20...56...65 Health. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	3 Tango-recharge-darker.png 		Channeling Magic	Factions
Spirit Burn.jpg 	Spirit Burn 	Spell. Deals 5...41...50 lightning damage. Inflicts Burning condition (1...4...5 second[s]) if you are within earshot of a spirit. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	6 Tango-recharge-darker.png 		Channeling Magic	Factions
Spirit Channeling.jpg 	Spirit Channeling 	Elite Enchantment Spell. (12 seconds.) You have +1...5...6 Energy regeneration. Initial effect: you gain 3...10...12 Energy if you are within earshot of a spirit. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Spawning Power	Factions
Spirit Light.jpg 	Spirit Light 	Spell. Heals for 60...156...180. You don't sacrifice Health if you are within earshot of any spirits. 	17% Tango-sacrifice.png 	5 Tango-energy.png 	1 Tango-activation-darker.png 	4 Tango-recharge-darker.png 		Restoration Magic	Factions
Spirit Light Weapon.jpg 	Spirit Light Weapon 	Elite Weapon Spell. (10 seconds.) Target ally gains 1...12...15 Health each second. 1...12...15 more healing per second while within earshot of a spirit. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Restoration Magic	Factions
Spirit Rift.jpg 	Spirit Rift 	Spell. After 3 seconds, affects foes adjacent to target's initial location. Deals 25...105...125 lightning damage and inflicts Cracked Armor (1...16...20 second[s]). 		10 Tango-energy.png 	2 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Channeling Magic	Factions
Spirit Siphon.jpg 	Spirit Siphon 	Spell. The spirit nearest you loses all Energy. You gain 15...43...50% of that Energy. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	3 Tango-recharge-darker.png 		Channeling Magic	Factions
Spirit Transfer.jpg 	Spirit Transfer 	Spell. The spirit nearest you loses 5...41...50 Health. Heals target ally for 5 for each point of Health lost. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Restoration Magic	Factions
Spirit to Flesh.jpg 	Spirit to Flesh 	Touch Spell. Destroys target touched allied spirit. Heals nearby allies for 30...198...240. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Spawning Power	Factions
Spirit's Gift.jpg 	Spirit's Gift 	Enchantment Spell. (60 seconds.) Whenever you create a creature, all nearby allies gain 5...41...50 Health and lose one condition. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Spawning Power	Nightfall
Spirit's Strength.jpg 	Spirit's Strength 	Elite Enchantment Spell. (15...51...60 seconds.) Your attacks deal +5...29...35 damage if you are under a weapon spell. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Spawning Power	Nightfall
Spiritleech Aura.jpg 	Spiritleech Aura 	Skill. (5...17...20 seconds.) All of your spirits within earshot deal 5...17...20 less damage and steal 5...17...20 Health when they attack. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Restoration Magic	Eye of the North
Splinter Weapon.jpg 	Splinter Weapon 	Weapon Spell. (20 seconds.) Attacks deal 5...41...50 damage to 3 [sic] adjacent foes. Ends after 1...4...5 attack[s]. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Channeling Magic	Factions
Splinter Weapon (PvP).jpg 	Splinter Weapon (PvP) 	Weapon Spell. (20 seconds.) Attacks deal 5...25...30 damage to 3 [sic] adjacent foes. Ends after 1...4...5 attack[s]. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Channeling Magic	Factions
Summon Spirits.jpg 	Summon Spirits 	Spell. Spirits you control Shadow Step to your location and gain 60...100 Health. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Allegiance rank	Factions
Sundering Weapon.jpg 	Sundering Weapon 	Weapon Spell. (4...9...10 seconds.) Target ally's next 3 attacks inflict Cracked Armor condition (5...17...20 seconds) and have 10% armor penetration. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Communing	Eye of the North
Tranquil Was Tanasen.jpg 	Tranquil Was Tanasen 	Elite Item Spell. (5...17...20 seconds.) You have +10...22...25 armor. You cannot be interrupted. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Restoration Magic	Factions
Union.jpg 	Union 	Binding Ritual. Creates a level 1...10...12 spirit (30...54...60 second lifespan). Whenever a non-spirit ally within range takes damage or life steal, it is reduced by 15 and the spirit takes 15 damage. 		15 Tango-energy.png 	¾ Tango-activation-darker.png 	45 Tango-recharge-darker.png 	Tango-quest-icon.png	Communing	Factions
Union (PvP).jpg 	Union (PvP) 	Binding Ritual. Creates a level 1...7...8 spirit (30...54...60 second lifespan). Whenever a non-spirit ally within range takes damage or life steal, that damage is reduced by 15 and the spirit takes 15 damage. 		15 Tango-energy.png 	3 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Communing	Factions
Vampirism.jpg 	Vampirism 	Binding Ritual. Creates a level 4...14 spirit (lifespan 75...150 seconds). Its attacks steal 10...20 Health, and you are healed for 10...20. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Sunspear rank	Nightfall
Vengeful Was Khanhei.jpg 	Vengeful Was Khanhei 	Elite Item Spell. (5...10...11 seconds.) You steal 5...29...35 Health from every foe that hits you with an attack. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Restoration Magic	Factions
Vengeful Weapon.jpg 	Vengeful Weapon 	Weapon Spell. (8 seconds.) Steals 15...51...60 Health from the next foe that deals damage or life steal to target ally. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	3 Tango-recharge-darker.png 	Tango-quest-icon.png	Restoration Magic	Factions
Vital Weapon.jpg 	Vital Weapon 	Weapon Spell. (5...25...30 seconds.) +40...148...175 maximum Health. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	2 Tango-recharge-darker.png 		Communing	Factions
Vocal Was Sogolon.jpg 	Vocal Was Sogolon 	Item Spell. (60 seconds.) Shouts and chants you use last 20...44...50% longer. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Restoration Magic	Nightfall
Wailing Weapon.jpg 	Wailing Weapon 	Weapon Spell. (3...8...9 seconds.) Attacks interrupt attacking foes. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	25 Tango-recharge-darker.png 		Channeling Magic	Factions
Wanderlust.jpg 	Wanderlust 	Elite Binding Ritual. Creates a level 1...10...12 spirit (30...54...60 second lifespan). Its attacks against stationary foes cause knock-down. Knock-down cost: this spirit loses 70...54...50 Health. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Communing	Factions
Wanderlust (PvP).jpg 	Wanderlust (PvP) 	Elite Binding Ritual. Creates a level 1...7...8 spirit (30...54...60 second lifespan). Its attacks against stationary foes cause knock-down. Knock-down cost: this spirit loses 70...54...50 Health. 		10 Tango-energy.png 	5 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Communing	Factions
Warmonger's Weapon.jpg 	Warmonger's Weapon 	Weapon Spell. (3...11...13 seconds.) Attacks interrupt an action. Does not interrupt attacking foes. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Channeling Magic	Nightfall
Weapon of Aggression.jpg 	Weapon of Aggression 	Weapon Spell. (5...13...15 seconds.) You attack 25% faster. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Channeling Magic	Eye of the North
Weapon of Fury.jpg 	Weapon of Fury 	Elite Weapon Spell. (5...17...20 seconds.) 5...41...50% more adrenaline gain and +1 Energy whenever target ally hits with an attack. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Channeling Magic	Nightfall
Weapon of Quickening.jpg 	Weapon of Quickening 	Elite Weapon Spell. (5...21...25 seconds.) Spells and binding rituals recharge 33% faster. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Communing	Factions
Weapon of Remedy.jpg 	Weapon of Remedy 	Elite Weapon Spell. (8 seconds.) The next time target ally takes damage or life steal from a foe, this ally steals 15...63...75 Health from that foe and loses 1 condition. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	3 Tango-recharge-darker.png 		Restoration Magic	Nightfall
Weapon of Renewal.jpg 	Weapon of Renewal 	Weapon Spell. (4...9...10 seconds.) Target ally gains 1...6...7 Energy the next time this ally hits with an attack skill. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Spawning Power	Eye of the North
Weapon of Shadow.jpg 	Weapon of Shadow 	Weapon Spell. (1...6...7 second[s].) Inflicts Blindness condition (5 seconds) on anyone who attacks target ally. Target ally's next 1...3...3 attack[s] inflict Blindness (5 seconds) if they hit. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Restoration Magic	Factions
Weapon of Warding.jpg 	Weapon of Warding 	Weapon Spell. (3...7...8 seconds.) +2...4...4 Health regeneration. 50% chance to block. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Restoration Magic	Factions
Weapon of Warding (PvP).jpg 	Weapon of Warding (PvP) 	Weapon Spell. (3...7...8 seconds.) +2...4...4 Health regeneration. 50% chance to block. Ends if target ally attacks. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Restoration Magic	Factions
Weapons of Three Forges.jpg 	Weapons of Three Forges 	Elite Weapon Spell. (3...17...20 seconds.) Allies in earshot gain the effect of a random Weapon Spell. Allied spirits are not affected. PvE Skill 		10 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Spawning Power	Core
Wielder's Boon.jpg 	Wielder's Boon 	Spell. Heals for 15...51...60. Heals for 15...63...75 more if this ally is under a Weapon [sic] spell. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	4 Tango-recharge-darker.png 		Restoration Magic	Factions
Wielder's Remedy.jpg 	Wielder's Remedy 	Enchantment Spell. (10...26...30 seconds.) Whenever you cast a weapon spell, the targeted ally loses one condition. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Spawning Power	Nightfall
Wielder's Strike.jpg 	Wielder's Strike 	Spell. Deals 5...41...50 lightning damage. Deals 10...34...40 more lightning damage if you are under a weapon spell. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	6 Tango-recharge-darker.png 		Channeling Magic	Nightfall
Wielder's Zeal.jpg 	Wielder's Zeal 	Elite Enchantment Spell. (10...26...30 seconds.) You gain 1...4...5 Energy whenever you cast a weapon spell. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Spawning Power	Nightfall
Xinrae's Weapon.jpg 	Xinrae's Weapon 	Elite Weapon Spell. (8 seconds). The next time target ally takes damage from a foe, that damage is limited to 5% of target ally's max Health and that ally steals 20...68...80 Health from that foe. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	3 Tango-recharge-darker.png 		Restoration Magic	Nightfall
