Accumulated Pain.jpg 	Accumulated Pain 	Spell. Deals 15...63...75 damage. Inflicts Deep Wound condition (5...17...20 seconds) if target foe has 2 or more hexes. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Illusion Magic	Factions
Persistence of Memory.jpg 	Persistence of Memory 	Enchantment Spell. (5...17...20 seconds.) Your interrupted spells recharge instantly. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Fast Casting	Nightfall
Phantom Pain.jpg 	Phantom Pain 	Hex Spell. (10 seconds.) Causes -1...3...4 Health degeneration. End effect: inflicts Deep Wound condition (5...17...20 seconds). 		5 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 	Tango-quest-icon.png	Illusion Magic	Prophecies
Physical Resistance.jpg 	Physical Resistance 	Stance. (30...78...90 seconds.) You have +40 armor against physical damage. You have -24...14...12 armor against elemental damage. 		10 Tango-energy.png 		20 Tango-recharge-darker.png 		Inspiration Magic	Prophecies
Power Block.jpg 	Power Block 	Elite Spell. If target foe is casting a spell or chant, that skill and all skills of the same attribute are disabled (1...10...12 seconds) and that skill is interrupted. 		15 Tango-energy.png 	¼ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Domination Magic	Prophecies
Power Drain.jpg 	Power Drain 	Spell. Interrupts a spell or chant. Interruption effect: you gain 1...25...31 Energy. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Inspiration Magic	Core
Power Flux.jpg 	Power Flux 	Elite Hex Spell. Interrupts a spell or chant. Interruption effect: -2 Energy degeneration (4...9...10 seconds). 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Domination Magic	Nightfall
Power Leak.jpg 	Power Leak 	Spell. Interrupts a spell or chant. Interruption effect: causes 3...14...17 Energy loss. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Domination Magic	Prophecies
Power Leech.jpg 	Power Leech 	Elite Hex Spell. Interrupt a spell or a chant. Interruption effect: steal 5...13...15 Energy whenever target foe casts a spell (10 seconds). 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Inspiration Magic	Factions
Power Lock.jpg 	Power Lock 	Spell. Interrupts a spell or chant. Interruption effect: interrupted spell or chant is disabled for +5...11...13 seconds. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Domination Magic	Eye of the North
Power Return.jpg 	Power Return 	Spell. Interrupts a spell or chant. Interruption effect: target foe gains 10...6...5 Energy. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	7 Tango-recharge-darker.png 		Fast Casting	Factions
Power Spike.jpg 	Power Spike 	Spell. Interrupts a spell or chant. Interruption effect: deals 30...102...120 damage. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	12 Tango-recharge-darker.png 	Tango-quest-icon.png	Domination Magic	Core
Price of Pride.jpg 	Price of Pride 	Hex Spell. (5...17...20 seconds.) Causes 1...6...7 Energy loss the next time target foe uses an elite skill. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Domination Magic	Nightfall
Psychic Distraction.jpg 	Psychic Distraction 	Elite Spell. Interrupts a skill. Interruption effect: disables interrupted skill (+5...11...12 seconds). Your other skills are disabled (8 seconds). 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	2 Tango-recharge-darker.png 		Domination Magic	Factions
Psychic Instability.jpg 	Psychic Instability 	Elite Spell. Interrupts an action. Interruption effect: if the action is a skill, cause knockdown for 2...4...4 seconds on target foe and all nearby foes. 50% failure chance unless Fast Casting 5 or higher. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Fast Casting	Factions
Psychic Instability (PvP).jpg 	Psychic Instability (PvP) 	Elite Spell. Interrupts an action. Interruption effect: if the action is a skill, causes knockdown for 2...3...3 seconds on target foe and all adjacent foes. 50% failure chance unless Fast Casting 5 or higher. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Fast Casting	Factions
Recurring Insecurity.jpg 	Recurring Insecurity 	Elite Hex Spell. (10 seconds.) Causes -1...4...5 Health degeneration. Renewal: if target foe has another hex when Recurring Insecurity would end. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Illusion Magic	Factions
Revealed Enchantment.jpg 	Revealed Enchantment 	Spell. Removes an enchantment from target foe. Removal effects: you gain 3...13...15 Energy; this spell is replaced with that enchantment (20 seconds). 		10 Tango-energy.png 	1 Tango-activation-darker.png 			Inspiration Magic	Factions
Revealed Hex.jpg 	Revealed Hex 	Spell. Removes a hex from target ally. Removal effects: you gain 4...9...10 Energy; this spell is replaced with that hex (20 seconds). 		5 Tango-energy.png 	1 Tango-activation-darker.png 			Inspiration Magic	Factions
Shame.jpg 	Shame 	Hex Spell. (6 seconds.) Target foe's next spell fails and you steal 5...12...14 Energy. No effect unless this foe's spell targeted one of its allies. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Domination Magic	Prophecies
Shared Burden.jpg 	Shared Burden 	Elite Hex Spell. Also hexes foes near your target (5...17...20 seconds). These foes attack, cast spells, and move 50% slower. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Illusion Magic	Factions
Shared Burden (PvP).jpg 	Shared Burden (PvP) 	Elite Hex Spell. Also hexes foes near your target (5...17...20 seconds). These foes attack, cast spells, and move 33% slower. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Illusion Magic	Factions
Shatter Delusions.jpg 	Shatter Delusions 	Spell. Removes a Mesmer hex from target foe. Removal effect: 15...63...75 damage to target and all adjacent foes. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	6 Tango-recharge-darker.png 	Tango-quest-icon.png	Domination Magic	Prophecies
Shatter Delusions (PvP).jpg 	Shatter Delusions (PvP) 	Spell. Removes a Mesmer hex from target foe. Removal effect: 15...63...75 damage to target and all adjacent foes. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Domination Magic	Prophecies
Shatter Enchantment.jpg 	Shatter Enchantment 	Spell. Removes an enchantment from target foe. Removal effect: deals 14...83...100 damage. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Domination Magic	Core
Shatter Hex.jpg 	Shatter Hex 	Spell. Removes a hex from target ally. Removal effect: deals 30...102...120 damage to foes near this ally. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 	Tango-quest-icon.png	Domination Magic	Core
Shatter Storm.jpg 	Shatter Storm 	Elite Spell. Removes all enchantments. Removal cost: Shatter Storm is disabled for +7 seconds for each enchantment removed. 		10 Tango-energy.png 	1 Tango-activation-darker.png 				Factions
Shrinking Armor.jpg 	Shrinking Armor 	Hex Spell. (10 seconds.) Causes -1...3...4 Health degeneration. End effect: inflicts Cracked Armor condition (5...17...20 seconds). 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Illusion Magic	Eye of the North
Signet of Clumsiness.jpg 	Signet of Clumsiness 	Signet. Interrupts an attack for target foe and all adjacent foes. Interruption effect: deals 15...51...60 damage; knocks down foes using attack skills. 			¼ Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Illusion Magic	Nightfall
Signet of Clumsiness (PvP).jpg 	Signet of Clumsiness (PvP) 	Signet. Interrupts an attack for target foe and all adjacent foes. Interruption effect: deals 15...51...60 damage; knocks down foes using attack skills. 			¼ Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Illusion Magic	Nightfall
Signet of Disenchantment.jpg 	Signet of Disenchantment 	Signet. Removes one enchantment. You lose all Energy. 			1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 			Factions
Signet of Disruption.jpg 	Signet of Disruption 	Signet. Interrupts a spell. Can interrupt any skill if target foe is hexed. Interruption effect: deals 10...43...51 damage. 			¼ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Domination Magic	Factions
Signet of Distraction.jpg 	Signet of Distraction 	Signet. Interrupts a spell. Interruption effect: target foe's spell is disabled for 1...4...5 seconds for each signet you have equipped. 			¼ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Domination Magic	Eye of the North
Signet of Humility.jpg 	Signet of Humility 	Signet. Disables elite skill (1...13...16 second[s]). Disables your non-Mesmer skills (10 seconds). 			3 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Inspiration Magic	Core
Signet of Illusions.jpg 	Signet of Illusions 	Elite Signet. Your next 1...3...3 spell[s] use your Illusion attribute instead of its normal attribute. 			2 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Illusion Magic	Nightfall
Signet of Midnight.jpg 	Signet of Midnight 	Elite Touch Signet. (15 seconds.) Inflicts Blindness condition. You suffer from Blindness (15 seconds). 			2 Tango-activation-darker.png 	10 Tango-recharge-darker.png 			Prophecies
Signet of Recall.jpg 	Signet of Recall 	Signet. (10 seconds.) You have -4 Energy regeneration. End effect: you gain 13...19...20 Energy. 			1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Inspiration Magic	Eye of the North
Signet of Weariness.jpg 	Signet of Weariness 	Signet. Also affects foes near your target. Causes 3...7...8 Energy loss and inflicts Weakness (1...10...12 second[s]). 			2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Domination Magic	Prophecies
Simple Thievery.jpg 	Simple Thievery 	Elite Spell. Interrupts an action. Interruption effect: If a skill was interrupted, that skill is disabled and Simple Thievery becomes that skill (5...17...20 seconds). 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Domination Magic	Nightfall
Soothing Images.jpg 	Soothing Images 	Hex Spell. Also hexes foe adjacent to target. (8...18...20 seconds). These foes cannot gain adrenaline. 		15 Tango-energy.png 	2 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Illusion Magic	Core
Spirit Shackles.jpg 	Spirit Shackles 	Hex Spell. (5...17...20). Target foe loses 5 Energy whenever it attacks. 		10 Tango-energy.png 	3 Tango-activation-darker.png 	8 Tango-recharge-darker.png 	Tango-quest-icon.png	Inspiration Magic	Core
Spirit of Failure.jpg 	Spirit of Failure 	Hex Spell. (30 seconds.) Target foe has 25% chance to miss. You gain 1...3...3 Energy whenever this foe misses. 		15 Tango-energy.png 	3 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Inspiration Magic	Prophecies
Spiritual Pain.jpg 	Spiritual Pain 	Spell. Deals 15...63...75 damage. Deals 25...105...125 damage to hostile summoned creatures in the area of your target foe. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	7 Tango-recharge-darker.png 		Domination Magic	Nightfall
Spiritual Pain (PvP).jpg 	Spiritual Pain (PvP) 	Spell. Deals 5...33...40 damage. Deals 25...105...125 damage to hostile summoned creatures in the area of your target foe. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Domination Magic	Nightfall
Stolen Speed.jpg 	Stolen Speed 	Elite Hex Spell. Also hexes adjacent foes (1...8...10 seconds). Doubles spell casting time. Spells cast by you or your allies have -50% casting times. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Fast Casting	Factions
Stolen Speed (PvP).jpg 	Stolen Speed (PvP) 	Elite Hex Spell. Also hexes adjacent foes (1...8...10 second[s]). Doubles spell casting time. Spells you cast on hexed foes have -50% casting time. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Fast Casting	Factions
Sum of All Fears.jpg 	Sum of All Fears 	Hex Spell. (1...8...10 second[s].) Target foe moves, attacks, and casts spells 33% slower. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Illusion Magic	Eye of the North
Symbolic Celerity.jpg 	Symbolic Celerity 	Enchantment Spell. (36...55...60 seconds.) Your signets use your Fast Casting attribute. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Fast Casting	Nightfall
Symbolic Posture.jpg 	Symbolic Posture 	Stance. (5...17...20 seconds.) Your next signet recharges 20...68...80% faster. 		10 Tango-energy.png 		20 Tango-recharge-darker.png 		Fast Casting	Nightfall
Symbols of Inspiration.jpg 	Symbols of Inspiration 	Elite Skill. (1...25...31 seconds.) This skill becomes the Elite of target foe. Elite spells you cast use your Fast Casting attribute instead of their normal attributes. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Fast Casting	Nightfall
Sympathetic Visage.jpg 	Sympathetic Visage 	Enchantment Spell. (4...9...10 seconds.) All adjacent foes lose all adrenaline and 3 Energy whenever a melee attack hits target ally. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Illusion Magic	Prophecies
Tease.jpg 	Tease 	Elite Spell. Interrupts a skill. Interruption effect: also interrupts other foes in the area, and you steal 0...4...5 Energy from all foes in the area. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Inspiration Magic	Nightfall
Time Ward.jpg 	Time Ward 	Elite Ward Spell. (3...13...15 seconds.) Allies in this ward cast spells 15...19...20% faster and recharge skills 15...19...20% faster. Allied spirits are not affected. PvE Skill 		10 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Fast Casting	Core
Unnatural Signet.jpg 	Unnatural Signet 	Signet. Deals 15...63...75 damage. Deals 5...41...50 damage to other adjacent foes if the target is hexed or enchanted. 			1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Domination Magic	Factions
Unnatural Signet (PvP).jpg 	Unnatural Signet (PvP) 	Signet. Deals 10...50...60 damage. Deals 10...50...60 damage to other adjacent foes if the target is hexed or enchanted. Your non-Mesmer skills except signets are disabled (10 seconds). 			1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Domination Magic	Factions
Visions of Regret.jpg 	Visions of Regret 	Elite Hex Spell. Also hexes foes adjacent to target (10 seconds). These foes take 15...39...45 damage whenever they use a skill and 5...41...50 additional damage if not under the effects of another Mesmer hex. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Domination Magic	Nightfall
Visions of Regret (PvP).jpg 	Visions of Regret (PvP) 	Elite Hex Spell. Also hexes foes adjacent to target (10 seconds). These foes take 10...26...30 damage whenever they use a skill and 5...33...40 additional damage if not under the effects of another Mesmer hex. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Domination Magic	Nightfall
Wandering Eye.jpg 	Wandering Eye 	Hex Spell. (4 seconds.) Interrupts target foe's next attack. Interruption effect: 30...94...110 damage to nearby foes. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Illusion Magic	Eye of the North
Wandering Eye (PvP).jpg 	Wandering Eye (PvP) 	Hex Spell. (4 seconds.) Interrupts target foe's next attack. Interruption effect: 10...76...92 damage to nearby foes. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Illusion Magic	Eye of the North
Waste Not, Want Not.jpg 	Waste Not, Want Not 	Spell. You gain 8...12...13 Energy if target foe is not attacking or casting a spell. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Inspiration Magic	Eye of the North
Wastrel's Demise.jpg 	Wastrel's Demise 	Hex Spell. (5 seconds.) Each second while hexed, target foe and all foes adjacent to that foe take 1...8...10 damage. Foes take +1...8...10 damage each second this hex is in effect. Ends early if target foe uses a skill. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	3 Tango-recharge-darker.png 		Domination Magic	Nightfall
Wastrel's Worry.jpg 	Wastrel's Worry 	Hex Spell. (3 seconds). End effect: causes 20...84...100 damage to target and adjacent foes. No effect and ends early if target foe uses a skill. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	1 Tango-recharge-darker.png 	Tango-quest-icon.png	Domination Magic	Prophecies
Web of Disruption.jpg 	Web of Disruption 	Hex Spell. (10 seconds.) Initial effect: interrupts a skill. End effect: interrupts a skill. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	15 Tango-recharge-darker.png 			Nightfall
Web of Disruption (PvP).jpg 	Web of Disruption (PvP) 	Hex Spell. (10 seconds.) Initial effect: interrupts a skill. End effect: interrupts a skill. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	15 Tango-recharge-darker.png 			Nightfall
