Angorodon's Gaze.jpg 	Angorodon's Gaze 	Spell. Steals 10...42...50 Health. You gain 3...10...12 Energy if you have a condition. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Soul Reaping	Eye of the North
Signet of Lost Souls.jpg 	Signet of Lost Souls 	Signet. You gain 10...82...100 Health and 1...8...10 Energy if target foe is below 50% Health. 			¼ Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Soul Reaping	Nightfall
Signet of Sorrow.jpg 	Signet of Sorrow 	Signet. Deals 15...63...75 damage. Recharges instantly if target foe is near a corpse or has a dead pet. 			1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Soul Reaping	Nightfall
Signet of Suffering.jpg 	Signet of Suffering 	Elite Signet. You Bleed for 6 seconds. Applies Bleeding (2...13...16 seconds) to the target of your next Necromancer skill. 				4 Tango-recharge-darker.png 		Blood Magic	Nightfall
Soul Barbs.jpg 	Soul Barbs 	Hex Spell. (30 seconds.) Deals 15...27...30 damage when an enchantment or hex is cast on target foe. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Curses	Prophecies
Soul Bind.jpg 	Soul Bind 	Elite Hex Spell. (30 seconds.) Every time target foe is healed, the healer takes 20...68...80 damage. Ends if target is suffering from a Smiting Prayers hex. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Curses	Factions
Soul Feast.jpg 	Soul Feast 	Spell. You gain 50...234...280 Health. Exploits a fresh corpse. 		10 Tango-energy.png 	1 Tango-activation-darker.png 		Tango-quest-icon.png	Death Magic	Core
Soul Leech.jpg 	Soul Leech 	Elite Hex Spell. (10 seconds.) Steal 16...67...80 Health whenever target foe casts a spell. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Blood Magic	Prophecies
Soul Taker.jpg 	Soul Taker 	Elite Enchantment Spell. (3...25...30 seconds.) Attacks deal +15...19...20 damage and sacrifice 15...19...20 health. PvE Skill 		5 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Soul Reaping	Core
Spinal Shivers.jpg 	Spinal Shivers 	Hex Spell. (10...34...40 seconds.) Cold damage interrupts target foe's skills. Interruption cost: you lose 10...6...5 Energy or Spinal Shivers ends. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Curses	Prophecies
Spiteful Spirit.jpg 	Spiteful Spirit 	Elite Hex Spell. (8...18...20 seconds.) Deals 5...29...35 damage to target and adjacent foes whenever this foe attacks or uses a skill. 		15 Tango-energy.png 	2 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Curses	Prophecies
Spoil Victor.jpg 	Spoil Victor 	Elite Hex Spell. (3...13...15 seconds.) Causes 25...85...100 Health loss whenever target foe attacks or casts spells on a creature with less Health. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Blood Magic	Factions
Spoil Victor (PvP).jpg 	Spoil Victor (PvP) 	Elite Hex Spell. (3...13...15 seconds.) Causes 15...63...75 Health loss whenever target foe attacks or casts spells on a creature with less Health. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Blood Magic	Factions
Strip Enchantment.jpg 	Strip Enchantment 	Spell. Removes 0...2...2 enchantment[s] from target foe. Removal effect: you steal 5...53...65 Health. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Blood Magic	Core
Suffering.jpg 	Suffering 	Hex Spell. Also hexes foes near target (6...25...30 seconds). These foes have -0...2...3 Health degeneration. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 	Tango-quest-icon.png	Curses	Core
Tainted Flesh.jpg 	Tainted Flesh 	Elite Enchantment Spell. (20...39...44 seconds.) Foes who hit target ally in melee become Diseased (3...13...15 seconds); this ally is immune to Disease. 		5 Tango-energy.png 	1 Tango-activation-darker.png 			Death Magic	Core
Taste of Death.jpg 	Taste of Death 	Spell. Steals 100...340...400 Health from allied undead servant. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 			Death Magic	Core
Taste of Pain.jpg 	Taste of Pain 	Spell. Heals you for 30...126...150. No effect unless target foe is below 50% Health. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Death Magic	Factions
Touch of Agony.jpg 	Touch of Agony 	Touch Skill. Deals 20...50...58 damage. 	10% Tango-sacrifice.png 	1 Tango-energy.png 	¾ Tango-activation-darker.png 	3 Tango-recharge-darker.png 		Blood Magic	Prophecies
Toxic Chill.jpg 	Toxic Chill 	Elite Spell. Deals 15...63...75 cold damage. Inflicts Poisoned condition (10...22...25 seconds) if target foe is hexed or enchanted. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Death Magic	Nightfall
Ulcerous Lungs.jpg 	Ulcerous Lungs 	Hex Spell. Also hexes foes near your target (10...22...25 seconds). Causes -4 Health degeneration to any of these foes that are Bleeding. Inflicts Bleeding (3...13...15 seconds) whenever these foes use a shout or chant. 		15 Tango-energy.png 	2 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Curses	Nightfall
Unholy Feast.jpg 	Unholy Feast 	Spell. Steals 10...54...65 Health from 1...3...4 foe[s] in the area around you. 		15 Tango-energy.png 	¾ Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Blood Magic	Core
Unholy Feast (PvP).jpg 	Unholy Feast (PvP) 	Spell. Steals 10...54...65 Health from 1...3...4 foe[s] in the area around you. 		15 Tango-energy.png 	¾ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Blood Magic	Core
Vampiric Bite.jpg 	Vampiric Bite 	Touch Skill. Steals 29...65...74 Health. 		15 Tango-energy.png 	¾ Tango-activation-darker.png 	2 Tango-recharge-darker.png 		Blood Magic	Factions
Vampiric Gaze.jpg 	Vampiric Gaze 	Spell. Steals 18...52...60 Health. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 	Tango-quest-icon.png	Blood Magic	Core
Vampiric Spirit.jpg 	Vampiric Spirit 	Elite Enchantment Spell. Steal 5...41...50 Health from target foe. You have +5...9...10 Health regeneration (10 seconds). 		5 Tango-energy.png 	2 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Blood Magic	Factions
Vampiric Swarm.jpg 	Vampiric Swarm 	Spell. Steals 15...51...60 Health. Hits 2 additional foes in the area. 		15 Tango-energy.png 	2 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Blood Magic	Factions
Vampiric Touch.jpg 	Vampiric Touch 	Touch Skill. Steals 29...65...74 Health. 		15 Tango-energy.png 	¾ Tango-activation-darker.png 	2 Tango-recharge-darker.png 	Tango-quest-icon.png	Blood Magic	Prophecies
Verata's Aura.jpg 	Verata's Aura 	Enchantment Spell. (120...264...300 seconds.) Become master of all hostile undead servants in the area. End effect: your undead servants become masterless. 50% failure chance unless Death Magic 5 or more. 	33% Tango-sacrifice.png 	15 Tango-energy.png 	¾ Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Death Magic	Prophecies
Verata's Gaze.jpg 	Verata's Gaze 	Spell. Make target undead servant masterless. If it is already masterless, you become its master. 50% failure chance unless Death Magic 5 or more. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Death Magic	Prophecies
Verata's Sacrifice.jpg 	Verata's Sacrifice 	Spell. (5...9...10 seconds.) 10 undead allied servants gain +10 Health regeneration. Instantly recharges if you have control of 3 or fewer servants. Transfers all conditions from those servants to you. 	15% Tango-sacrifice.png 	10 Tango-energy.png 	2 Tango-activation-darker.png 	60 Tango-recharge-darker.png 		Death Magic	Prophecies
Vile Miasma.jpg 	Vile Miasma 	Hex Spell. Causes -1...4...5 Health degeneration (10 seconds). Initial effect: deals 10...54...65 cold damage. Hex is only applied if target foe has a condition. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Death Magic	Factions
Vile Touch.jpg 	Vile Touch 	Touch Skill. Deals 20...56...65 damage. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	2 Tango-recharge-darker.png 	Tango-quest-icon.png	Death Magic	Core
Virulence.jpg 	Virulence 	Elite Spell. Inflicts Disease, Poison, and Weakness conditions (3...13...15 seconds). No effect unless this foe already had a condition. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Death Magic	Prophecies
Vocal Minority.jpg 	Vocal Minority 	Hex Spell. Also hexes foes near target (5...17...20 seconds). These foes cannot use shouts or chants. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Curses	Nightfall
Wail of Doom.jpg 	Wail of Doom 	Elite Hex Spell. (1...3...4 second[s].) Target foe's attributes are 0. 	10% Tango-sacrifice.png 	1 Tango-energy.png 	¼ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Soul Reaping	Factions
Wallow's Bite.jpg 	Wallow's Bite 	Touch Skill. Deals 20...50...58 damage. 	10% Tango-sacrifice.png 	1 Tango-energy.png 	¾ Tango-activation-darker.png 	3 Tango-recharge-darker.png 		Blood Magic	Factions
Weaken Armor.jpg 	Weaken Armor 	Spell. Also affects adjacent foes. Inflicts Cracked Armor condition (5...17...20 seconds). 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Curses	Core
Weaken Knees.jpg 	Weaken Knees 	Elite Hex Spell. (1...13...16 second[s].) Target foe has -1...3...4 Health degeneration and takes 5...9...10 damage while moving. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Curses	Factions
Well of Blood.jpg 	Well of Blood 	Well Spell. (8...18...20 seconds.) Allies in this well have +1...5...6 Health regeneration. Exploits a fresh corpse. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	2 Tango-recharge-darker.png 	Tango-quest-icon.png	Blood Magic	Core
Well of Darkness.jpg 	Well of Darkness 	Well Spell. (5...41...50 seconds.) Hexed foes in this well have 50% chance to miss. Exploits a fresh corpse. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Curses	Nightfall
Well of Power.jpg 	Well of Power 	Elite Well Spell. (8...18...20 seconds.) Allies in this well have +1...5...6 Health regeneration and +2 Energy regeneration. Exploits a fresh corpse. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Blood Magic	Prophecies
Well of Ruin.jpg 	Well of Ruin 	Well Spell. (5...25...30 seconds.) Inflicts Cracked Armor condition (5...17...20 seconds) to any foe in the well that takes physical damage. Exploits a fresh corpse. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Curses	Eye of the North
Well of Silence.jpg 	Well of Silence 	Well Spell. (10...26...30 seconds.) Foes in this well cannot use shouts and chants and have -1...3...4 Health degeneration. Exploits a fresh corpse. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Curses	Nightfall
Well of Suffering.jpg 	Well of Suffering 	Well Spell. (10...26...30 seconds.) Foes in this well have -1...5...6 Health degeneration. Exploits a fresh corpse. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 	Tango-quest-icon.png	Death Magic	Prophecies
Well of Weariness.jpg 	Well of Weariness 	Well Spell. (10...46...55 seconds.) Foes in this well have -1 Energy degeneration. Exploits a fresh corpse. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Curses	Factions
Well of the Profane.jpg 	Well of the Profane 	Well Spell. (8...18...20 seconds.) Foes in this well lose all enchantments and cannot be the target of further enchantments. Exploits a fresh corpse. 50% failure chance unless Death Magic 5 or more. 		25 Tango-energy.png 	3 Tango-activation-darker.png 	10 Tango-recharge-darker.png 	Tango-quest-icon.png	Death Magic	Core
Wither.jpg 	Wither 	Elite Hex Spell. (5...29...35 seconds.) Causes -2...4...4 Health degeneration and -1 Energy degeneration. Deals 15...63...75 damage if target foe's Energy drops to 0. Ends if this foe's Energy drops to 0. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Curses	Prophecies
Withering Aura.jpg 	Withering Aura 	Enchantment Spell. (5...17...20 seconds.) Target ally's melee attacks cause Weakness condition (5...17...20 seconds.) 		5 Tango-energy.png 	1 Tango-activation-darker.png 	3 Tango-recharge-darker.png 		Death Magic	Eye of the North
