Aegis.jpg 	Aegis 	Enchantment Spell. Enchants all party members within earshot (5...10...11 seconds). 50% chance to block. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Protection Prayers	Core
Shield of Judgment.jpg 	Shield of Judgment 	Elite Enchantment Spell. (8...18...20 seconds.) Deals 5...41...50 holy damage to foes attacking [sic] target ally. Causes knock-down. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Smiting Prayers	Prophecies
Shield of Regeneration.jpg 	Shield of Regeneration 	Elite Enchantment Spell. (5...11...13 seconds.) +3...9...10 Health regeneration and +40 armor. 		15 Tango-energy.png 	¼ Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Protection Prayers	Core
Shielding Hands.jpg 	Shielding Hands 	Enchantment Spell. (8 seconds.) Reduces incoming damage and life steal by 3...15...18. End effect: heals for 5...41...50 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	15 Tango-recharge-darker.png 	Tango-quest-icon.png	Protection Prayers	Core
Signet of Devotion.jpg 	Signet of Devotion 	Signet. Heals for 14...83...100. 			2 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Divine Favor	Core
Signet of Judgment.jpg 	Signet of Judgment 	Elite Signet. Knocks down target. Deals 15...63...75 holy damage to target and adjacent foes. 			1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Smiting Prayers	Core
Signet of Judgment (PvP).jpg 	Signet of Judgment (PvP) 	Elite Half Range Signet. Knocks down target. Deals 5...41...50 holy damage to target and adjacent foes. 			1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Smiting Prayers	Core
Signet of Mystic Wrath.jpg 	Signet of Mystic Wrath 	Signet. Deals 5...29...35 holy damage for each enchantment on you (maximum 100 holy damage). 			2 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Smiting Prayers	Nightfall
Signet of Rage.jpg 	Signet of Rage 	Signet. Deals 5...41...50 holy damage. Deals 5...9...10 more holy damage for each of target foe's adrenaline skills. 			1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Smiting Prayers	Factions
Signet of Rejuvenation.jpg 	Signet of Rejuvenation 	Signet. Heals for 15...63...75. Heals for 15...63...75 more if target ally is casting a spell or attacking. 			1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Healing Prayers	Factions
Signet of Removal.jpg 	Signet of Removal 	Elite Signet. Removes one hex and one condition. No effect unless target ally is enchanted. 			1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 			Nightfall
Smite.jpg 	Smite 	Spell. Deals 10...46...55 holy damage. Deals 10...30...35 more holy damage if target is attacking. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 	Tango-quest-icon.png	Smiting Prayers	Prophecies
Smite Condition.jpg 	Smite Condition 	Spell. Removes a condition. Removal effect: deals 10...50...60 holy damage to foes in the area of target ally. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	7 Tango-recharge-darker.png 		Smiting Prayers	Eye of the North
Smite Hex.jpg 	Smite Hex 	Spell. Removes a hex from target ally. Removal effect: deals 10...70...85 holy damage to foes in the area of target ally. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	12 Tango-recharge-darker.png 	Tango-quest-icon.png	Smiting Prayers	Core
Smiter's Boon.jpg 	Smiter's Boon 	Enchantment Spell. (30 seconds.) Your Smiting Prayers have double Divine Favor healing bonus. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Divine Favor	Eye of the North
Smiter's Boon (PvP).jpg 	Smiter's Boon (PvP) 	Enchantment Spell. (5 seconds.) Your Smiting Prayers have double Divine Favor healing bonus. 		25 Tango-energy.png 	¼ Tango-activation-darker.png 	90 Tango-recharge-darker.png 		Divine Favor	Eye of the North
Spear of Light.jpg 	Spear of Light 	Spell. Projectile: deals 26...50...56 holy damage. Deals 15...51...60 more damage if target foe is attacking. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Smiting Prayers	Factions
Spell Breaker.jpg 	Spell Breaker 	Elite Enchantment Spell. (5...15...17 seconds.) Target ally cannot be the target of enemy spells. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	45 Tango-recharge-darker.png 		Divine Favor	Core
Spell Shield.jpg 	Spell Shield 	Enchantment Spell. (5...17...20 seconds.) While casting spells, you cannot be the target of spells. End effect: your skills are disabled (10...6...5 seconds). 		10 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Divine Favor	Factions
Spirit Bond.jpg 	Spirit Bond 	Enchantment Spell. (8 seconds.) Heals for 30...78...90 whenever target ally takes more than 50 damage. Ends after this ally takes damage from 10 attacks or spells. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	2 Tango-recharge-darker.png 		Protection Prayers	Factions
Spirit Bond (PvP).jpg 	Spirit Bond (PvP) 	Enchantment Spell. (8 seconds.) Heals for 30...78...90 whenever target ally takes more than 50 damage. Ends after this ally takes damage from 10 attacks or spells. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Protection Prayers	Factions
Spotless Mind.jpg 	Spotless Mind 	Enchantment Spell. (1...12...15 seconds.) Removes a hex every 5 seconds. Cannot self-target. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Healing Prayers	Eye of the North
Spotless Soul.jpg 	Spotless Soul 	Enchantment Spell. (1...12...15 seconds.) Removes a condition every 3 seconds. Cannot self-target. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	12 Tango-recharge-darker.png 		Healing Prayers	Eye of the North
Stonesoul Strike.jpg 	Stonesoul Strike 	Touch Skill. Deals 10...46...55 holy damage. Deals 10...46...55 more holy damage if target is knocked down. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Smiting Prayers	Factions
Strength of Honor.jpg 	Strength of Honor 	Enchantment Spell. Target ally deals 5...21...25 more damage in melee. 	-1 Tango-upkeep.png 	10 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 	Tango-quest-icon.png	Smiting Prayers	Core
Strength of Honor (PvP).jpg 	Strength of Honor (PvP) 	Enchantment Spell. Target ally deals 1...4...5 more damage in melee. 	-1 Tango-upkeep.png 	10 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Smiting Prayers	Core
Succor.jpg 	Succor 	Enchantment Spell. +1 Health regeneration and +1 Energy regeneration. Cannot self-target. You lose 1 Energy each time target ally casts a spell. 	-1 Tango-upkeep.png 	5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 			Prophecies
Supportive Spirit.jpg 	Supportive Spirit 	Enchantment Spell. (5...19...23 seconds.) Heals for 5...29...35 whenever target ally takes damage while knocked-down. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Healing Prayers	Nightfall
Symbol of Wrath.jpg 	Symbol of Wrath 	Spell. Deals 8...27...32 holy damage each second (5 seconds). Hits foes adjacent to your initial location. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Smiting Prayers	Prophecies
Unyielding Aura.jpg 	Unyielding Aura 	Elite Enchantment Spell. Your Monk spells heal for +15...51...60%. End effect: a random other party member is resurrected with full Health and Energy and teleported to your location. 	-1 Tango-upkeep.png 	5 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Divine Favor	Prophecies
Unyielding Aura (PvP).jpg 	Unyielding Aura (PvP) 	Elite Enchantment Spell. Resurrects target party member (full Health, full Energy). End effect: this ally dies and leaves an exploited corpse. Does not incur a death penalty. 50% failure chance unless Divine Favor 5 or more. 	-1 Tango-upkeep.png 	5 Tango-energy.png 	3 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Divine Favor	Prophecies
Vengeance.jpg 	Vengeance 	Enchantment Spell. (30 seconds.) Resurrects target party member (full Health, full Energy). This ally deals 25% more damage and does not incur death penalty. End effect: this ally dies. 		10 Tango-energy.png 	4 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png		Prophecies
Vigorous Spirit.jpg 	Vigorous Spirit 	Enchantment Spell. (30 seconds.) Heals for 5...17...20 each time target ally attacks or casts a spell. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	4 Tango-recharge-darker.png 	Tango-quest-icon.png	Healing Prayers	Prophecies
Vital Blessing.jpg 	Vital Blessing 	Enchantment Spell. +40...168...200 maximum Health. 	-1 Tango-upkeep.png 	10 Tango-energy.png 	¾ Tango-activation-darker.png 	2 Tango-recharge-darker.png 	Tango-quest-icon.png	Protection Prayers	Prophecies
Watchful Healing.jpg 	Watchful Healing 	Enchantment Spell. (10 seconds.) Target ally has +1...3...4 Health regeneration and gains 30...102...120 Health if this enchantment ends early. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Divine Favor	Nightfall
Watchful Spirit.jpg 	Watchful Spirit 	Enchantment Spell. +2 Health regeneration. End effect: heals for 30...150...180. 	-1 Tango-upkeep.png 	15 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Divine Favor	Prophecies
Withdraw Hexes.jpg 	Withdraw Hexes 	Elite Spell. Removes all hexes. Also affects adjacent allies. Removal cost: +20...8...5 seconds recharge for each hex removed. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Divine Favor	Factions
Word of Censure.jpg 	Word of Censure 	Elite Spell. Deals 15...63...75 holy damage. +20 recharge time if target foe is below 33% Health. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	2 Tango-recharge-darker.png 		Smiting Prayers	Factions
Word of Healing.jpg 	Word of Healing 	Elite Spell. Heals for 5...81...100. Heals for 30...98...115 more if target ally is below 50% Health. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	3 Tango-recharge-darker.png 		Healing Prayers	Core
Words of Comfort.jpg 	Words of Comfort 	Spell. Heals for 15...51...60. Heals for 15...39...45 more if target ally has a condition. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	4 Tango-recharge-darker.png 		Healing Prayers	Nightfall
Zealot's Fire.jpg 	Zealot's Fire 	Enchantment Spell. (60 seconds.) Whenever you use a skill on an ally, all foes adjacent to that ally are hit for 5...29...35 fire damage. Damage cost: you lose 1 Energy. 		10 Tango-energy.png 	¼ Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Smiting Prayers	Core
Zealous Benediction.jpg 	Zealous Benediction 	Elite Spell. Heals for 30...150...180. You gain 7 Energy if target ally was below 50% Health. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	4 Tango-recharge-darker.png 		Protection Prayers	Nightfall
