Aftershock.jpg 	Aftershock 	Spell. Deals 26...85...100 earth damage to nearby foes. Deals 10...56...68 more earth damage to knocked down foes. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Earth Magic	Core
Mind Freeze (PvP).jpg 	Mind Freeze (PvP) 	Elite Hex Spell. Deals 10...34...40 cold damage. If you have more Energy than target foe, deals +10...34...40 cold damage and causes 90% slower movement (1...4...5 second[s]). 	5 Tango-overcast.png 	10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Water Magic	Core
Mind Shock.jpg 	Mind Shock 	Elite Spell. Deals 10...42...50 lightning damage. If you have more Energy than target foe, deals +10...42...50 lightning damage and causes knockdown. 25% armor penetration. 	5 Tango-overcast.png 	5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Air Magic	Prophecies
Mind Shock (PvP).jpg 	Mind Shock (PvP) 	Elite Spell. Deals 10...42...50 lightning damage. If you have more Energy than target foe, deals +10...42...50 lightning damage and causes knockdown. 25% armor penetration. 	10 Tango-overcast.png 	5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Air Magic	Prophecies
Mirror of Ice.jpg 	Mirror of Ice 	Elite Hex Spell. Deals 15...59...70 cold damage and slows foes by 66% (2...5...6 seconds). Hits foes near you and target ally. Recharges 50% faster if it hits a foe hexed with Water Magic. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Water Magic	Factions
Mist Form.jpg 	Mist Form 	Elite Enchantment Spell. (10...38...45 seconds.) Take 33% less damage from foes hexed with Water Magic. Heals non-spirit allies in earshot for 50...210...250% of the energy cost of your elemental spells. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Water Magic	Prophecies
Mist Form (PvP).jpg 	Mist Form (PvP) 	Elite Enchantment Spell. (10...38...45 seconds.) Take 33% less damage from foes hexed with Water Magic. Heals non-spirit allies in earshot for 50...210...250% of the energy cost of your elemental spells. Does not heal allies above 80% Health. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Water Magic	Prophecies
Obsidian Flame.jpg 	Obsidian Flame 	Spell. Deals 22...94...112 damage. 	5 Tango-overcast.png 	5 Tango-energy.png 	1½ Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Earth Magic	Core
Obsidian Flame (PvP).jpg 	Obsidian Flame (PvP) 	Spell. Deals 22...78...92 damage. 	5 Tango-overcast.png 	5 Tango-energy.png 	1½ Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Earth Magic	Core
Obsidian Flesh.jpg 	Obsidian Flesh 	Elite Enchantment Spell. (8...18...20 seconds.) You have +20 armor and enemy spells cannot target you. You cannot attack and have -2 energy degeneration. 		25 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Earth Magic	Core
Over the Limit.jpg 	Over the Limit 	Elite Enchantment Spell. Spells cast 15...19...20% faster and recharge 15...43...50% faster. Continuously gain Overcast while active. PvE Skill 	-1 Tango-upkeep.png 	5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Energy Storage	Core
Phoenix.jpg 	Phoenix 	Spell. Projectile: deals 10...50...60 fire damage to target and nearby foes. Heals allies for 20...68...80 if you are Overcast. 		10 Tango-energy.png 	1½ Tango-activation-darker.png 	7 Tango-recharge-darker.png 		Fire Magic	Prophecies
Ride the Lightning.jpg 	Ride the Lightning 	Elite Spell. Deals 10...58...70 lightning damage. 25% armor penetration. Blinds all adjacent foes (1...4...5 second[s]). You instantly move to your target. May target allies. 	5 Tango-overcast.png 	10 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 		Air Magic	Factions
Ride the Lightning (PvP).jpg 	Ride the Lightning (PvP) 	Elite Spell. Deals 10...58...70 lightning damage. 25% armor penetration. Blinds all adjacent foes (1...4...5 second[s]). You instantly move to your target. May target allies. 	5 Tango-overcast.png 	15 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Air Magic	Factions
Rodgort's Invocation.jpg 	Rodgort's Invocation 	Spell. Deals 15...99...120 fire damage. Also affects foes near your target. Inflicts Burning condition (1...3...3 second[s]). 		25 Tango-energy.png 	2 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Fire Magic	Prophecies
Rust.jpg 	Rust 	Hex Spell. Deals 10...58...70 cold damage to target and adjacent foes. Hexes target and adjacent foes (5...17...20 seconds). Doubles signet activation time. Interrupts and disables signets for 1...8...10 second[s] if you are Overcast. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Water Magic	Core
Sandstorm.jpg 	Sandstorm 	Elite Spell. Deals 10...26...30 earth damage each second (10 seconds). Hits foes near target foe's initial location. Hits attacking foes for 10...26...30 more earth damage each second. 		15 Tango-energy.png 	2 Tango-activation-darker.png 	25 Tango-recharge-darker.png 		Earth Magic	Nightfall
Savannah Heat.jpg 	Savannah Heat 	Elite Spell. Deals 5...17...20 fire damage for each second since casting this spell (5 seconds). Hits foes near target's initial location. 		5 Tango-energy.png 	2 Tango-activation-darker.png 	25 Tango-recharge-darker.png 		Fire Magic	Nightfall
Savannah Heat (PvP).jpg 	Savannah Heat (PvP) 	Elite Spell. Deals 5...17...20 fire damage for each second since casting this spell (5 seconds). Hits foes near target's initial location. 		15 Tango-energy.png 	2 Tango-activation-darker.png 	25 Tango-recharge-darker.png 		Fire Magic	Nightfall
Searing Flames.jpg 	Searing Flames 	Elite Spell. Hits foes near your target. Deals 10...82...100 fire damage to foes already Burning. Inflicts Burning condition (1...6...7 seconds) to foes not Burning. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	2 Tango-recharge-darker.png 		Fire Magic	Nightfall
Searing Heat.jpg 	Searing Heat 	Spell. Deals 10...34...40 fire damage each second (5 seconds). Hits foes near target's initial location. End effect: inflicts Burning condition (3 seconds). 		15 Tango-energy.png 	2 Tango-activation-darker.png 	25 Tango-recharge-darker.png 		Fire Magic	Prophecies
Second Wind.jpg 	Second Wind 	Elite Spell. You gain 1 Energy and 5 Health for each point of Overcast. You lose all enchantments. 	5 Tango-overcast.png 	5 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 			Factions
Shard Storm.jpg 	Shard Storm 	Hex Spell. Projectile: deals 10...70...85 cold damage. Target foe moves 66% slower (2...5...6 seconds). 		10 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 	Tango-quest-icon.png	Water Magic	Prophecies
Shatterstone.jpg 	Shatterstone 	Elite Hex Spell. (3 seconds.) Initial effect: deals 25...85...100 cold damage. End effect: deals 25...85...100 cold damage to target and all nearby foes. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Water Magic	Factions
Shell Shock.jpg 	Shell Shock 	Spell. Deals 10...26...30 lightning damage. Inflicts Cracked Armor condition (5...17...20 seconds). 25% armor penetration. If Overcast, strikes adjacent. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Air Magic	Eye of the North
Shock.jpg 	Shock 	Touch Skill. Deals 10...50...60 lightning damage. Causes knock-down. 25% armor penetration. 	10 Tango-overcast.png 	5 Tango-energy.png 	¾ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Air Magic	Prophecies
Shock Arrow.jpg 	Shock Arrow 	Spell. Rapid projectile: deals 5...41...50 lightning damage. Gain 5 Energy plus 1 Energy for every 2 ranks of Energy Storage if you hit a foe suffering from Cracked Armor. 25% armor penetration. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Air Magic	Factions
Shockwave.jpg 	Shockwave 	Elite Spell. Foes in the area take 15...51...60 earth damage and are Weakened (1...8...10 second[s]). Nearby foes also take +15...51...60 earth damage and have Cracked Armor (1...8...10 second[s]). Adjacent foes also take +15...51...60 earth damage and are Blinded (1...8...10 second[s]). 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Earth Magic	Factions
Slippery Ground.jpg 	Slippery Ground 	Spell. Causes knock-down if this foe is Blind or moving. Affects foes adjacent to your target. 50% failure chance unless Water Magic greater than 4. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Water Magic	Eye of the North
Slippery Ground (PvP).jpg 	Slippery Ground (PvP) 	Spell. Causes knock-down if this foe is Blind or moving. 50% failure chance unless Water Magic 5 or higher. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Water Magic	Eye of the North
Sliver Armor.jpg 	Sliver Armor 	Enchantment Spell. (5...10...11 seconds.) You have 25...45...50% chance to block. Deals 5...29...35 earth damage to one nearby foe whenever you are the target of a hostile spell or attack. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Earth Magic	Factions
Smoldering Embers.jpg 	Smoldering Embers 	Hex Spell. Deals 10...58...70 fire damage to target. If you are Overcast, foe is hexed for 3 seconds, taking 5...21...25 fire damage each second. 		10 Tango-energy.png 	1½ Tango-activation-darker.png 	7 Tango-recharge-darker.png 		Fire Magic	Factions
Star Burst.jpg 	Star Burst 	Elite Touch Spell. Deals 7...91...112 fire damage. Inflicts Burning (1...3...4 seconds). [sic] Gain 2 Energy for each foe struck. Also hits foes in the area. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	7 Tango-recharge-darker.png 		Fire Magic	Factions
Steam.jpg 	Steam 	Spell. Deals 20...52...60 cold damage. Inflicts Blindness condition (5...9...10 seconds) if target foe is Burning. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Water Magic	Nightfall
Stone Daggers.jpg 	Stone Daggers 	Spell. Two projectiles: each deals 8...28...33 earth damage. If Overcast, cause Bleeding for 1...4...5 second[s]. 		5 Tango-energy.png 	1 Tango-activation-darker.png 		Tango-quest-icon.png	Earth Magic	Core
Stone Sheath.jpg 	Stone Sheath 	Elite Enchantment Spell. (5...17...20 seconds.) Gives you and target ally +1...24...30 armor and immunity to critical hits. Initial effect: Foes near you and target ally are struck for 15...59...70 earth damage and are Weakened (5...17...20 seconds). 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Earth Magic	Nightfall
Stone Striker.jpg 	Stone Striker 	Enchantment Spell. (5...25...30 seconds.) Converts elemental and physical damage you take or deal to earth damage. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Earth Magic	Nightfall
Stoneflesh Aura.jpg 	Stoneflesh Aura 	Enchantment Spell. (5...13...15 seconds.) Reduces damage you take by 1...25...31, and you are immune to critical hits. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Earth Magic	Nightfall
Stoning.jpg 	Stoning 	Spell. Projectile: deals 45...93...105 earth damage. Causes knock-down if target foe is Weakened. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Earth Magic	Core
Storm Djinn's Haste.jpg 	Storm Djinn's Haste 	Enchantment Spell. (10...22...25 seconds.) You move 25% faster. Lose 1 Energy each second while moving. 		5 Tango-energy.png 	¼ Tango-activation-darker.png 	10 Tango-recharge-darker.png 		Air Magic	Nightfall
Swirling Aura.jpg 	Swirling Aura 	Enchantment Spell. (5 seconds.) Gives 1...5...6 Health regeneration and a 50% chance to block projectiles. If Overcast, also enchants party members in earshot. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 	Tango-quest-icon.png	Water Magic	Prophecies
Teinai's Crystals.jpg 	Teinai's Crystals 	Spell. Deals 20...36...40 damage to target. Deals +20...36...40 more [sic] damage and causes Cracked Armor (5...13...15 seconds) nearby if that foe had a Water Magic hex. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Earth Magic	Factions
Teinai's Heat.jpg 	Teinai's Heat 	Ward Spell. (10...14...15 seconds.) Causes -2...4...5 health [sic] degeneration. Weakened foes in the ward attack 33% slower. Disabled for 20 seconds. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Fire Magic	Factions
Teinai's Prison.jpg 	Teinai's Prison 	Hex Spell. (1...5...6 second[s].) Target foe moves 66% slower. Foes with Cracked Armor have 5...8...9 Health degeneration. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Water Magic	Factions
Teinai's Wind.jpg 	Teinai's Wind 	Spell. Deals 10...34...40 cold damage. Burning foes take +40...72...80 damage and are interrupted. Also strikes adjacent. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Air Magic	Factions
Thunderclap.jpg 	Thunderclap 	Elite Spell. Deals 10...42...50 lightning damage. Also strikes adjacent foes. Inflicts Cracked Armor and Weakness (5...17...20 seconds). Causes interrupt. 25% armor penetration. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	8 Tango-recharge-darker.png 		Air Magic	Prophecies
Unsteady Ground.jpg 	Unsteady Ground 	Elite Spell. Deals 10...34...40 earth damage each second (5 seconds) and causes knock-down to attacking foes. Hits foes near target's initial location. 		10 Tango-energy.png 	2 Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Earth Magic	Factions
Vapor Blade.jpg 	Vapor Blade 	Spell. Deals 15...111...135 cold damage. Half damage if target foe is enchanted. 	5 Tango-overcast.png 	10 Tango-energy.png 	1½ Tango-activation-darker.png 	7 Tango-recharge-darker.png 		Water Magic	Factions
Ward Against Elements.jpg 	Ward Against Elements 	Ward Spell. (8...18...20 seconds.) Allies in this ward have +24 armor against elemental damage. Spirits are unaffected. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Earth Magic	Prophecies
Ward Against Foes.jpg 	Ward Against Foes 	Ward Spell. (8...18...20 seconds.) Foes in this ward move 50% slower. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 	Tango-quest-icon.png	Earth Magic	Core
Ward Against Harm.jpg 	Ward Against Harm 	Elite Ward Spell. (5...13...15 seconds.) Allies in this ward have +1...3...3 Health regeneration, +12...22...24 armor, and +12...22...24 additional armor against elemental damage. Spirits are unaffected. This spell is disabled for 20 seconds. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Water Magic	Prophecies
Ward Against Harm (PvP).jpg 	Ward Against Harm (PvP) 	Elite Ward Spell. (5...13...15 seconds.) Allies in this ward have +1...3...3 Health regeneration, +12...22...24 armor, and +12...22...24 additional armor against elemental damage. Spirits are unaffected. This spell is disabled for 30 seconds. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Water Magic	Prophecies
Ward Against Melee.jpg 	Ward Against Melee 	Ward Spell. (5...17...20 seconds.) Allies in this ward have a 50% chance to block melee attacks. Allied spirits are not affected. 		15 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Earth Magic	Core
Ward of Stability.jpg 	Ward of Stability 	Ward Spell. (10...22...25 seconds.) Allies in this ward cannot be knocked-down. Allied spirits are not affected. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 		Earth Magic	Factions
Ward of Weakness.jpg 	Ward of Weakness 	Ward Spell. (5...17...20 seconds). Inflicts Weakened condition (5...17...20 seconds) to any foes that take elemental damage in this ward. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	20 Tango-recharge-darker.png 		Earth Magic	Eye of the North
Water Attunement.jpg 	Water Attunement 	Enchantment Spell. (36...55...60 seconds.) You gain 1 Energy plus 30% of the Energy cost when you use a Water Magic skill. 		10 Tango-energy.png 	1 Tango-activation-darker.png 	30 Tango-recharge-darker.png 	Tango-quest-icon.png	Water Magic	Core
Water Trident.jpg 	Water Trident 	Elite Spell. Fast Projectile: deals 10...74...90 cold damage and knocks-down moving foes. Shoots 2 additional projectiles at adjacent foes. 		5 Tango-energy.png 	1 Tango-activation-darker.png 	3 Tango-recharge-darker.png 		Water Magic	Prophecies
Whirlwind.jpg 	Whirlwind 	Spell. Hits foes adjacent to you. Deals 15...63...75 cold damage. Causes knock-down to attacking foes. Strikes nearby instead of adjacent if Overcast. 		5 Tango-energy.png 	¾ Tango-activation-darker.png 	8 Tango-recharge-darker.png 	Tango-quest-icon.png	Air Magic	Prophecies
Windborne Speed.jpg 	Windborne Speed 	Enchantment Spell. (5...11...13 seconds.) Target ally moves 33% faster. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	5 Tango-recharge-darker.png 	Tango-quest-icon.png	Air Magic	Prophecies
Winter's Embrace.jpg 	Winter's Embrace 	Hex Spell. (2...5...6 seconds.) Target foe moves 66% slower and takes 5...13...15 damage while moving. 		10 Tango-energy.png 	¾ Tango-activation-darker.png 	15 Tango-recharge-darker.png 		Water Magic	Eye of the North
